ID автосервиса;Район;Адрес
А1;Верх-Исетский;ул. Репина, 149
А2;Кировский;ул. ?Новгородцевой, 4а
А3;Ленинский;ул. Амундсена, 38/3
А4;Кировский;ул. ?Комсомольская, 73
А5;Верх-Исетский;?ул. Зоологическая, 7Б
А6;Верх-Исетский;ул. ?Черкасская, 22а/1
А7;Кировский;?ул. Студенческая, 49
А8;Кировский;?ул. Малышева, 143
А9;Ленинский;?ул. Депутатская, 84
А10;Верх-Исетский;ул. ?Заводская, 29т
А11;Ленинский;ул. ?Иркутская, 53
А12;Кировский;?ул. Гагарина, 6/3
А13;Кировский;ул. ?Первомайская, 106д
А14;Ленинский;?ул. Московская, 275а
А15;Верх-Исетский;ул. Репина, 40а
А16;Кировский;ул. ?Раевского, 13
А17;Ленинский;ул. ?Шейнкмана, 123
А18;Верх-Исетский;?ул. Металлургов, 70
А19;Кировский;?ул. Малышева, 122н
А20;Ленинский;ул. ?Чапаева, 7/1
