ID операции;Дата;ID автосервиса;Артикул;Количество, шт.;Тип операции;;;;;
1;01.09.2023;А7;112;833;Поступление;;;;;
2;01.09.2023;А5;43;692;Поступление;;;;;
3;01.09.2023;А12;67;114;Продажа;;;;;
4;01.09.2023;А5;99;320;Поступление;;;;;
5;01.09.2023;А11;123;622;Продажа;;;;;
6;01.09.2023;А11;182;895;Поступление;;;;;
7;01.09.2023;А15;31;135;Поступление;;;;;
8;01.09.2023;А19;19;831;Поступление;;;;;
9;01.09.2023;А6;53;175;Продажа;;;;;
10;01.09.2023;А20;143;700;Поступление;;;;;
11;01.09.2023;А8;68;538;Продажа;;;;;
12;01.09.2023;А3;191;784;Поступление;;;;;
13;01.09.2023;А10;126;148;Продажа;;;;;
14;01.09.2023;А7;48;880;Продажа;;;;;
15;01.09.2023;А1;134;993;Поступление;;;;;
16;01.09.2023;А12;109;300;Продажа;;;;;
17;01.09.2023;А7;129;129;Продажа;;;;;
18;01.09.2023;А6;88;182;Продажа;;;;;
19;01.09.2023;А4;93;765;Поступление;;;;;
20;01.09.2023;А6;90;465;Поступление;;;;;
21;01.09.2023;А4;108;522;Поступление;;;;;
22;01.09.2023;А20;85;86;Поступление;;;;;
23;01.09.2023;А9;26;107;Продажа;;;;;
24;01.09.2023;А7;130;193;Продажа;;;;;
25;01.09.2023;А7;159;579;Продажа;;;;;
26;01.09.2023;А5;110;970;Поступление;;;;;
27;01.09.2023;А18;95;685;Продажа;;;;;
28;01.09.2023;А2;104;12;Продажа;;;;;
29;01.09.2023;А19;64;190;Поступление;;;;;
30;01.09.2023;А3;128;671;Поступление;;;;;
31;01.09.2023;А8;46;971;Поступление;;;;;
32;01.09.2023;А14;198;420;Поступление;;;;;
33;01.09.2023;А18;123;46;Поступление;;;;;
34;01.09.2023;А17;93;971;Поступление;;;;;
35;01.09.2023;А18;56;721;Продажа;;;;;
36;01.09.2023;А12;134;588;Поступление;;;;;
37;01.09.2023;А6;24;774;Поступление;;;;;
38;01.09.2023;А5;162;66;Продажа;;;;;
39;01.09.2023;А11;104;476;Продажа;;;;;
40;01.09.2023;А5;39;788;Поступление;;;;;
41;01.09.2023;А3;25;692;Продажа;;;;;
42;01.09.2023;А10;162;179;Продажа;;;;;
43;01.09.2023;А1;104;852;Продажа;;;;;
44;01.09.2023;А4;180;688;Поступление;;;;;
45;01.09.2023;А6;112;142;Продажа;;;;;
46;01.09.2023;А6;180;64;Продажа;;;;;
47;01.09.2023;А17;98;284;Поступление;;;;;
48;01.09.2023;А2;4;410;Продажа;;;;;
49;01.09.2023;А13;25;783;Продажа;;;;;
50;01.09.2023;А2;15;116;Продажа;;;;;
51;01.09.2023;А2;103;620;Продажа;;;;;
52;01.09.2023;А4;180;798;Продажа;;;;;
53;01.09.2023;А16;112;755;Поступление;;;;;
54;01.09.2023;А11;28;582;Продажа;;;;;
55;01.09.2023;А14;200;18;Продажа;;;;;
56;01.09.2023;А9;132;585;Продажа;;;;;
57;01.09.2023;А8;73;217;Продажа;;;;;
58;01.09.2023;А13;120;247;Продажа;;;;;
59;01.09.2023;А12;192;957;Продажа;;;;;
60;01.09.2023;А2;37;134;Продажа;;;;;
61;01.09.2023;А5;24;259;Продажа;;;;;
62;01.09.2023;А19;37;552;Продажа;;;;;
63;01.09.2023;А8;65;918;Поступление;;;;;
64;01.09.2023;А17;93;409;Поступление;;;;;
65;01.09.2023;А17;58;180;Продажа;;;;;
66;01.09.2023;А13;174;130;Продажа;;;;;
67;01.09.2023;А8;33;166;Поступление;;;;;
68;01.09.2023;А1;125;304;Продажа;;;;;
69;01.09.2023;А3;106;954;Продажа;;;;;
70;01.09.2023;А17;6;30;Поступление;;;;;
71;01.09.2023;А16;54;220;Поступление;;;;;
72;01.09.2023;А8;174;256;Продажа;;;;;
73;01.09.2023;А19;25;652;Поступление;;;;;
74;01.09.2023;А15;52;262;Продажа;;;;;
75;02.09.2023;А17;42;911;Продажа;;;;;
76;02.09.2023;А10;95;881;Продажа;;;;;
77;02.09.2023;А4;104;270;Поступление;;;;;
78;02.09.2023;А17;200;58;Поступление;;;;;
79;02.09.2023;А2;51;297;Поступление;;;;;
80;02.09.2023;А2;167;492;Продажа;;;;;
81;02.09.2023;А18;63;632;Продажа;;;;;
82;02.09.2023;А9;141;783;Продажа;;;;;
83;02.09.2023;А19;169;536;Продажа;;;;;
84;02.09.2023;А4;171;859;Продажа;;;;;
85;02.09.2023;А4;154;686;Поступление;;;;;
86;02.09.2023;А6;198;73;Поступление;;;;;
87;02.09.2023;А8;12;958;Поступление;;;;;
88;02.09.2023;А12;85;160;Продажа;;;;;
89;02.09.2023;А10;130;217;Продажа;;;;;
90;02.09.2023;А20;67;431;Продажа;;;;;
91;02.09.2023;А6;74;824;Поступление;;;;;
92;02.09.2023;А10;90;457;Продажа;;;;;
93;02.09.2023;А6;75;385;Поступление;;;;;
94;02.09.2023;А14;10;167;Поступление;;;;;
95;02.09.2023;А16;25;803;Продажа;;;;;
96;02.09.2023;А15;117;898;Поступление;;;;;
97;02.09.2023;А1;61;795;Продажа;;;;;
98;02.09.2023;А6;6;278;Продажа;;;;;
99;02.09.2023;А5;72;811;Поступление;;;;;
100;02.09.2023;А10;77;124;Поступление;;;;;
101;02.09.2023;А7;65;60;Поступление;;;;;
102;02.09.2023;А6;139;577;Поступление;;;;;
103;02.09.2023;А7;159;264;Продажа;;;;;
104;02.09.2023;А19;28;774;Продажа;;;;;
105;02.09.2023;А6;175;676;Поступление;;;;;
106;02.09.2023;А16;78;526;Продажа;;;;;
107;02.09.2023;А10;54;144;Продажа;;;;;
108;02.09.2023;А16;85;718;Поступление;;;;;
109;02.09.2023;А2;34;20;Продажа;;;;;
110;02.09.2023;А9;78;386;Продажа;;;;;
111;02.09.2023;А16;33;970;Продажа;;;;;
112;02.09.2023;А14;146;883;Продажа;;;;;
113;02.09.2023;А19;97;557;Поступление;;;;;
114;02.09.2023;А2;200;669;Поступление;;;;;
115;02.09.2023;А4;71;502;Продажа;;;;;
116;02.09.2023;А3;94;822;Продажа;;;;;
117;02.09.2023;А19;99;395;Поступление;;;;;
118;02.09.2023;А13;58;812;Поступление;;;;;
119;02.09.2023;А14;112;871;Продажа;;;;;
120;02.09.2023;А15;192;371;Продажа;;;;;
121;02.09.2023;А9;67;292;Продажа;;;;;
122;02.09.2023;А1;123;288;Продажа;;;;;
123;02.09.2023;А14;80;911;Поступление;;;;;
124;02.09.2023;А8;175;468;Поступление;;;;;
125;02.09.2023;А14;51;561;Продажа;;;;;
126;02.09.2023;А12;33;193;Поступление;;;;;
127;02.09.2023;А4;1;847;Продажа;;;;;
128;02.09.2023;А9;25;928;Продажа;;;;;
129;02.09.2023;А7;91;370;Продажа;;;;;
130;02.09.2023;А7;132;353;Поступление;;;;;
131;02.09.2023;А4;23;273;Поступление;;;;;
132;02.09.2023;А17;49;322;Продажа;;;;;
133;02.09.2023;А1;84;980;Поступление;;;;;
134;02.09.2023;А10;79;566;Продажа;;;;;
135;02.09.2023;А13;25;515;Продажа;;;;;
136;02.09.2023;А6;44;385;Продажа;;;;;
137;02.09.2023;А4;43;910;Продажа;;;;;
138;02.09.2023;А9;109;42;Продажа;;;;;
139;02.09.2023;А18;69;774;Продажа;;;;;
140;02.09.2023;А9;192;565;Поступление;;;;;
141;02.09.2023;А20;40;520;Продажа;;;;;
142;02.09.2023;А18;78;42;Поступление;;;;;
143;02.09.2023;А6;126;241;Продажа;;;;;
144;02.09.2023;А10;112;119;Продажа;;;;;
145;02.09.2023;А8;153;13;Поступление;;;;;
146;02.09.2023;А10;132;140;Поступление;;;;;
147;02.09.2023;А14;146;520;Поступление;;;;;
148;02.09.2023;А11;3;102;Продажа;;;;;
149;02.09.2023;А9;72;54;Продажа;;;;;
150;02.09.2023;А3;111;316;Поступление;;;;;
151;02.09.2023;А7;20;101;Продажа;;;;;
152;02.09.2023;А14;61;940;Поступление;;;;;
153;02.09.2023;А11;191;452;Поступление;;;;;
154;02.09.2023;А15;15;792;Поступление;;;;;
155;02.09.2023;А9;62;86;Продажа;;;;;
156;02.09.2023;А7;171;316;Поступление;;;;;
157;02.09.2023;А10;172;57;Продажа;;;;;
158;02.09.2023;А16;199;363;Поступление;;;;;
159;02.09.2023;А10;157;366;Поступление;;;;;
160;02.09.2023;А19;57;333;Продажа;;;;;
161;02.09.2023;А15;166;119;Поступление;;;;;
162;02.09.2023;А20;160;663;Поступление;;;;;
163;02.09.2023;А12;133;122;Продажа;;;;;
164;02.09.2023;А8;39;602;Поступление;;;;;
165;02.09.2023;А20;56;535;Продажа;;;;;
166;03.09.2023;А11;11;456;Продажа;;;;;
167;03.09.2023;А11;8;660;Поступление;;;;;
168;03.09.2023;А6;125;432;Продажа;;;;;
169;03.09.2023;А20;89;439;Поступление;;;;;
170;03.09.2023;А5;44;736;Поступление;;;;;
171;03.09.2023;А7;116;889;Поступление;;;;;
172;03.09.2023;А15;169;717;Продажа;;;;;
173;03.09.2023;А18;124;194;Продажа;;;;;
174;03.09.2023;А15;175;803;Продажа;;;;;
175;03.09.2023;А9;43;482;Продажа;;;;;
176;03.09.2023;А4;186;803;Поступление;;;;;
177;03.09.2023;А8;81;307;Поступление;;;;;
178;03.09.2023;А1;21;787;Поступление;;;;;
179;03.09.2023;А16;104;44;Продажа;;;;;
180;03.09.2023;А18;72;756;Поступление;;;;;
181;03.09.2023;А6;189;889;Поступление;;;;;
182;03.09.2023;А8;190;355;Поступление;;;;;
183;03.09.2023;А18;197;985;Продажа;;;;;
184;03.09.2023;А18;47;169;Продажа;;;;;
185;03.09.2023;А18;141;157;Продажа;;;;;
186;03.09.2023;А3;168;247;Продажа;;;;;
187;03.09.2023;А17;58;359;Поступление;;;;;
188;03.09.2023;А19;85;405;Продажа;;;;;
189;03.09.2023;А17;5;295;Продажа;;;;;
190;03.09.2023;А10;64;934;Поступление;;;;;
191;03.09.2023;А19;45;735;Продажа;;;;;
192;03.09.2023;А4;137;973;Поступление;;;;;
193;03.09.2023;А7;27;535;Поступление;;;;;
194;03.09.2023;А10;197;869;Поступление;;;;;
195;03.09.2023;А18;111;450;Поступление;;;;;
196;03.09.2023;А18;63;607;Продажа;;;;;
197;03.09.2023;А3;199;657;Продажа;;;;;
198;03.09.2023;А18;85;624;Продажа;;;;;
199;03.09.2023;А5;174;178;Поступление;;;;;
200;03.09.2023;А12;86;140;Продажа;;;;;
201;03.09.2023;А10;106;769;Продажа;;;;;
202;03.09.2023;А8;7;876;Продажа;;;;;
203;03.09.2023;А3;117;703;Поступление;;;;;
204;03.09.2023;А10;32;159;Продажа;;;;;
205;03.09.2023;А20;105;560;Поступление;;;;;
206;03.09.2023;А9;182;662;Продажа;;;;;
207;03.09.2023;А11;114;353;Продажа;;;;;
208;03.09.2023;А3;106;337;Поступление;;;;;
209;03.09.2023;А5;113;515;Продажа;;;;;
210;03.09.2023;А9;31;289;Продажа;;;;;
211;03.09.2023;А18;91;227;Поступление;;;;;
212;03.09.2023;А6;178;714;Поступление;;;;;
213;03.09.2023;А18;9;660;Поступление;;;;;
214;03.09.2023;А18;172;592;Поступление;;;;;
215;03.09.2023;А10;196;948;Поступление;;;;;
216;03.09.2023;А16;148;105;Продажа;;;;;
217;03.09.2023;А1;137;630;Поступление;;;;;
218;03.09.2023;А10;130;560;Продажа;;;;;
219;03.09.2023;А3;100;321;Поступление;;;;;
220;03.09.2023;А12;101;486;Продажа;;;;;
221;03.09.2023;А15;3;718;Продажа;;;;;
222;03.09.2023;А18;62;889;Поступление;;;;;
223;03.09.2023;А13;50;291;Поступление;;;;;
224;03.09.2023;А13;161;482;Поступление;;;;;
225;03.09.2023;А18;19;894;Продажа;;;;;
226;03.09.2023;А8;47;438;Продажа;;;;;
227;03.09.2023;А10;95;729;Поступление;;;;;
228;03.09.2023;А7;111;819;Поступление;;;;;
229;03.09.2023;А7;184;474;Продажа;;;;;
230;03.09.2023;А18;9;523;Поступление;;;;;
231;03.09.2023;А1;35;154;Поступление;;;;;
232;03.09.2023;А17;125;749;Продажа;;;;;
233;03.09.2023;А16;176;117;Продажа;;;;;
234;03.09.2023;А7;123;165;Поступление;;;;;
235;03.09.2023;А20;27;346;Поступление;;;;;
236;03.09.2023;А3;102;584;Поступление;;;;;
237;04.09.2023;А7;92;465;Поступление;;;;;
238;04.09.2023;А3;13;88;Поступление;;;;;
239;04.09.2023;А20;4;969;Продажа;;;;;
240;04.09.2023;А12;176;283;Продажа;;;;;
241;04.09.2023;А1;18;554;Продажа;;;;;
242;04.09.2023;А18;40;945;Поступление;;;;;
243;04.09.2023;А6;38;817;Продажа;;;;;
244;04.09.2023;А13;189;985;Поступление;;;;;
245;04.09.2023;А14;144;993;Продажа;;;;;
246;04.09.2023;А6;88;447;Поступление;;;;;
247;04.09.2023;А1;17;931;Продажа;;;;;
248;04.09.2023;А17;57;802;Продажа;;;;;
249;04.09.2023;А4;10;952;Поступление;;;;;
250;04.09.2023;А2;105;871;Поступление;;;;;
251;04.09.2023;А19;42;698;Продажа;;;;;
252;04.09.2023;А16;58;773;Поступление;;;;;
253;04.09.2023;А9;104;384;Поступление;;;;;
254;04.09.2023;А19;38;381;Продажа;;;;;
255;04.09.2023;А18;58;76;Поступление;;;;;
