Артикул;Узел;Наименование запчасти;Цена
1;Двигатель;Комплект болтов головки цилидра;81147
2;Система выпуска;Прокладка выхлопной трубы;89726
3;Кузов;Датчик парктроника;63498
4;Двигатель;Болт крепления крышки шатуна;52675
5;Кпп;Масло, трансмиссия с двойным сцеплением (dsg);59077
6;Электрика;Генератор;47949
7;Двигатель;Комплект вкладышей шатуна;62216
8;Двигатель;Интеркулер (охлаждение нагнетаемого воздуха);83979
9;Система очистки фар;Водяной насос, система очистки фар (вода для чистки);12085
10;Рулевое управление;Датчик угла поворота;95428
11;Двигатель;Ремень поликлиновой;75637
12;Двигатель;Расходомер воздуха;96286
13;Двигатель;Уплотнительное кольцо датчика уровня моторного масла;64654
14;Система выпуска;Выпускной клапан;53951
15;Система выпуска;Монтажный комплект, компрессор (нагнетатель);88097
16;Двигатель;Шланг, вентиляция картера;16174
17;Кузов;Покрытие, внешнее зеркало (наружное зеркало);50957
18;Кузов;Пружина газовая капота;53981
19;Двигатель;Пробка резьбовая масляного поддона;70529
20;Подготовка топливной смеси;Датчик давления во впускном газопроводе;23399
21;Привод колеса;Болт подвески моста, приводной вал (вал приводной);3721
22;Кпп;Гидрофильтр акпп;59121
23;Тормозная система;Болт воздушного клапана / вентиль, колесный тормозн. Цилиндр;19017
24;Кузов;Зеркальное стекло внешнего зеркала;7771
25;Отопление / вентиляция;Вентилятор салона;39853
26;Подвеска и амортизация;Амортизатор;7757
27;Двигатель;Болт головки цилиндра;18868
28;Двигатель;Болт крепления крышки шатуна;17601
29;Подготовка топливной смеси;Датчик давления выхлопных газов;95095
30;Кпп;Комплект деталей для смены масла акпп;47536
31;Кузов;Зеркальное стекло внутреннего зеркала;56218
32;Привод колеса;Вал приводной;7899
33;Кузов;Изоляция моторного отделения (моторное отделение);49418
34;Система сцепления;Диск сцепления;21154
35;Электрика;Блок управления временем накаливания;45207
36;Двигатель;Болт маховика;47343
37;Тормозная система;Болт тормозного суппорта;56438
38;Подготовка топливной смеси;Датчик давления наддува;15808
39;Тормозная система;Болт, диск тормозного механизма (тормозной диск);35538
40;Двигатель;Водяной насос + комплект зубчатого ремня;32427
41;Кузов;Лампа указателя поворота;38422
42;Подготовка топливной смеси;Датчик давления подачи топлива;66148
43;Кондиционер;Испаритель кондиционера;56228
44;Двигатель;Впускной клапан;5959
45;Кпп;Крышка корпуса, гидравлический фильтр (акпп);16357
46;Кузов;Комплект проблесковых ламп (фонарь указателя поворота);36515
47;Электрика;Блок управления топливным насосом;36123
48;Двигатель;Головка цилиндра;84510
49;Двигатель;Датчик давления масла;61238
50;Кондиционер;Регулирующий клапан, компрессор;22385
51;Двигатель;Датчик кислородный (лямбда-зонд);34836
52;Рулевое управление;Наконечник поперечной рулевой тяги;49242
53;Кузов;Пружинный зажим, монтаж стекол;80940
54;Подготовка топливной смеси;Патрубок дроссельной заслонки;56723
55;Система сцепления;Комплект сцепления;28339
56;Тормозная система;Выключатель фонаря сигнала торможения (фонарь сигнала торможения);92976
57;Двигатель;Датчик положения распределительного вала;85115
58;Кпп;Масло акпп;38336
59;Двигатель;Датчик положения коленвала;13695
60;Электрика;Сигнализатор;85862
61;Замки;Замок двери;99022
62;Двигатель;Датчик потока воздуха;98943
63;Подвеска и амортизация;Болт регулировки развала колёс (установка развала колёс);5112
64;Система подачи топлива;Блок управления топливным насосом;90005
65;Тормозная система;Датчик износа тормозных колодок;17370
66;Система сцепления;Нажимной диск сцепления;88823
67;Кпп;Масло мкпп;27759
68;Двигатель;Датчик температуры охлаждающей жидкости;10281
69;Кузов;Сигнальная лампа изменения полосы движения;31195
70;Система подачи топлива;Насос высокого давления;38811
71;Электрика;Блок управления фарами;4745
72;Электрика;Втулка вала стартера;52899
73;Двигатель;Комплект болтов маховика;98664
74;Двигатель;Комплект вкладышей шатуна;29762
75;Электрика;Стартер;72128
76;Подготовка топливной смеси;Форсунка;92173
77;Тормозная система;Датчик частоты вращения колеса;75927
78;Двигатель;Комплект подшипников коленчатого вала;55047
79;Отопление / вентиляция;Радиатор отопителя;99833
80;Система сцепления;Ограничитель крутящего момента наконечника сцепления;22871
81;Кпп;Масляный насос акпп;74462
82;Кузов;Фара основная;51660
83;Двигатель;Комплект поршневых колец;14740
84;Двигатель;Комплект прокладок гбц;18493
85;Система очистки окон;Насос стеклоочистителя;25558
86;Кондиционер;Компрессор кондиционера;62846
87;Кузов;Фонарь освещения номерного знака;8289
88;Рулевое управление;Осевой шарнир рулевой тяги;86369
89;Тормозная система;Диск тормозной;82976
90;Кпп;Масляный радиатор акпп;75156
91;Двигатель;Комплект прокладок двигателя;51302
92;Привод колеса;Пыльник приводного вала;34815
93;Двигатель;Комплект прокладок масляного радиатора;79206
94;Электрика;Выключатель на рулевой колонке (вал рулевого управления);70601
95;Кузов;Пружина газовая крышки багажника;67875
96;Подвеска и амортизация;Буфер, амортизация (рессора);44042
97;Кпп;Опора акпп;28523
98;Кондиционер;Конденсатор кондиционера;88480
99;Двигатель;Комплект прокладок стержня клапана;53140
100;Система подачи топлива;Прокладка, заливной патрубок (горловина топливного бака);85018
101;Электрика;Выключатель, фара заднего хода;97245
102;Тормозная система;Диск тормозной, экономичный;31373
103;Система сцепления;Центральный выключатель, система сцепления;15251
104;Двигатель;Коромысло клапана;24830
105;Кпп;Опора мкпп;83469
106;Электрика;Стартерная аккумуляторная батарея;11158
107;Двигатель;Корпус, масляный фильтр;76225
108;Двигатель;Корпус, фильтр воздушный;40632
109;Кондиционер;Ремкомплект кондиционера;47034
110;Двигатель;Кронштейн опоры двигателя;69032
111;Отопление / вентиляция;Регулятор, вентилятор салона;85539
112;Тормозная система;Колодки тормозные дисковые, комплект;17267
113;Кпп;Прокладка акпп;96599
114;Двигатель;Крышка головки цилиндра;6519
115;Электрика;Датчик внешней температуры;6092
116;Кузов;Кожух двигателя (двигатель);61905
117;Подвеска и амортизация;Дополнительная рессора;8851
118;Тормозная система;Комплект высокоэффективных тормозных колодок (экономичный тормоз);55713
119;Двигатель;Маслопровод, компрессор (маслопровод (компрессор));86768
120;Кпп;Прокладка, механическая коробка передач;5536
121;Рулевое управление;Пыльник рулевого управления, комплект;7868
122;Привод колеса;Пыльник приводного вала, комплект;30859
123;Двигатель;Маслосъемный колпачок;18418
124;Двигатель;Масляный поддон;97667
125;Кондиционер;Осушитель кондиционера;79163
126;Тормозная система;Комплект направляющей гильзы (суппорт тормозной);21067
127;Электрика;Тяговое реле стартера;47258
128;Кпп;Резьбовая пробка, картер коробки передач;13030
129;Двигатель;Моторное масло (двигатель);45578
130;Система очистки окон;Распылитель воды для чистки, система очистки окон (вода для чистки);79424
131;Электрика;Датчик внутренней температуры;96348
132;Система сцепления;Цилиндр сцепления главный;7793
133;Отопление / вентиляция;Фильтр салона;96655
134;Двигатель;Направляющая втулка клапана;78139
135;Двигатель;Натяжитель ремня поликлинового;55535
136;Кпп;Ремкомплект, масляный насос (автоматическая коробка передач);85698
137;Тормозная система;Комплект тормозных дисков и колодок;11129
138;Электрика;Датчик давления воздуха, высотный корректор;1987
139;Двигатель;Натяжной ролик ремня грм;69337
140;Подвеска и амортизация;Модуль деактивации, электронное управление амортизатора;63073
141;Кпп;Ремонтный комплект мкпп;34611
142;Трансмиссия;Кзч, смена масла в многодиск. сцепл.;88054
143;Двигатель;Прокладка масляного насоса;17857
144;Тормозная система;Комплектующие барабанных тормозных колодок;27773
145;Двигатель;Предохранительный клин клапана;32608
146;Кондиционер;Регулировочный элемент, смесительный клапан;4772
147;Система сцепления;Цилиндр сцепления рабочий;29654
148;Рулевое управление;Пыльник, рулевое управление;10366
149;Двигатель;Преобразователь давления, турбокомпрессор;96498
150;Двигатель;Прокладка водяной насоса;54018
151;Кпп;Сальник вала акпп;16321
152;Замки;Замок задней двери (задняя дверь);54121
153;Система подачи топлива;Ремкомплект топливного насоса;14736
154;Отопление / вентиляция;Шланг системы обогрева (радиатор отопителя);92984
155;Тормозная система;Комплектующие дисковых тормозных колодок;67614
156;Электрика;Лампа oсвещения салона;35267
157;Двигатель;Ремень грм;78653
158;Кпп;Сальник вала мкпп;97504
159;Подвеска и амортизация;Опора стойки амортизатора;88522
160;Тормозная система;Кронштейн тормозного суппорта;47561
161;Двигатель;Ролик паразитный поликлинового ремня;33731
162;Кондиционер;Расширительный клапан кондиционера;75042
163;Двигатель;Сальник коленвала;92007
164;Тормозная система;Кронштейн, соединительный кабель абс;33866
165;Кпп;Уплотнительное кольцо, масляный насос автоматической кп;31838
166;Система очистки окон;Щетка стеклоочистителя;1187
167;Электрика;Механизм свободного хода генератора;48239
168;Двигатель;Сальник распределительного вала;18893
169;Подвеска и амортизация;Подшипник опоры стойки амортизатора;34235
170;Система подачи топлива;Топливный шланг;17250
171;Замки;Регулировочный элемент, центральный замок;94419
172;Тормозная система;Поршень тормозного суппорта;77016
173;Двигатель;Система спортивного воздушного фильтра;59834
174;Привод колеса;Шрус;9021
175;Электрика;Многофункциональное реле (многофункциональный);71884
176;Двигатель;Толкатель клапана;80824
177;Двигатель;Уплотнение, регулятор фаз газораспределения;58176
178;Рулевое управление;Рулевой механизм;85776
179;Подвеска и амортизация;Пылезащитный комплект амортизатора;95763
180;Тормозная система;Прокладка вакуумного насоса;15400
181;Кпп;Уплотнительное кольцо, система тяг и рычагов;93962
182;Двигатель;Уплотнительное кольцо датчика уровня моторного масла;6954
183;Отопление / вентиляция;Элементы управления кондиционера;3847
184;Трансмиссия;Масло, полный привод с многодисковым сцеплением;86109
185;Подвеска и амортизация;Пыльник амортизатора;38571
186;Двигатель;Регулирующая заслонка, подача воздуха (управление воздуха);51825
187;Электрика;Привод с механизмом свободного хода, стартер (холостой ход);45153
188;Тормозная система;Пыльник, управление корпуса скобы тормоза;1908
189;Система подачи топлива;Фильтр топливный;19554
190;Двигатель;Уплотнительное кольцо, клапанная форсунка;20338
191;Кондиционер;Прокладка, компрессор кондиционера;60385
192;Двигатель;Радиатор, рециркуляция ог;92855
193;Трансмиссия;Сальник дифференциала;63878
194;Тормозная система;Ремкомплект тормозного суппорта;84429
195;Электрика;Ремонтный комплект кабеля, центральное электрооборудование;76113
196;Тормозная система;Регулировочный элемент, стояночный тормоз;36385
197;Двигатель;Шатунный подшипник;24769
198;Подвеска и амортизация;Ремкомплект опоры стойки амортизатора;21203
199;Тормозная система;Цилиндр тормозной главный;51718
200;Двигатель;Поршень двигателя;95032
